unique_id,major_group_code,major_group_name,sub_major_group_code,sub_major_group_name,minor_group_code,minor_group_name,unit_group_code,group_title
soc-y1bj,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",11,CORPORATE MANAGERS AND DIRECTORS,113,Functional Managers and Directors,1136,Human resource managers and directors
soc-y1bp,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",11,CORPORATE MANAGERS AND DIRECTORS,113,Functional Managers and Directors,1137,Information technology directors
soc-y1bv,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",11,CORPORATE MANAGERS AND DIRECTORS,113,Functional Managers and Directors,1139,Functional managers and directors n.e.c.
soc-y1ce,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",11,CORPORATE MANAGERS AND DIRECTORS,114,"Directors in Logistics, Warehousing and Transport",1140,"Directors in logistics, warehousing and transport"
soc-y1ch,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",11,CORPORATE MANAGERS AND DIRECTORS,115,Managers and Directors in Retail and Wholesale,1150,Managers and directors in retail and wholesale
soc-y1cj,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",11,CORPORATE MANAGERS AND DIRECTORS,116,Senior Officers in Protective Services,1161,Officers in armed forces
soc-y1cp,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",11,CORPORATE MANAGERS AND DIRECTORS,116,Senior Officers in Protective Services,1162,Senior police officers
soc-y1cu,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",11,CORPORATE MANAGERS AND DIRECTORS,116,Senior Officers in Protective Services,1163,"Senior officers in fire, ambulance, prison and related services"
soc-y1da,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",11,CORPORATE MANAGERS AND DIRECTORS,117,Health and Social Services Managers and Directors,1171,Health services and public health managers and directors
soc-y1de,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",11,CORPORATE MANAGERS AND DIRECTORS,117,Health and Social Services Managers and Directors,1172,Social services managers and directors
soc-y1dg,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",12,OTHER MANAGERS AND PROPRIETORS,121,Managers and Proprietors in Agriculture Related Services,1211,Managers and proprietors in agriculture and horticulture
soc-y1di,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",12,OTHER MANAGERS AND PROPRIETORS,121,Managers and Proprietors in Agriculture Related Services,1212,"Managers and proprietors in forestry, fishing and related services"
soc-y1dp,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",12,OTHER MANAGERS AND PROPRIETORS,122,Managers and Proprietors in Hospitality and Leisure Services,1221,Hotel and accommodation managers and proprietors
soc-y1dr,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",12,OTHER MANAGERS AND PROPRIETORS,122,Managers and Proprietors in Hospitality and Leisure Services,1222,Restaurant and catering establishment managers and proprietors
soc-y1dw,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",12,OTHER MANAGERS AND PROPRIETORS,122,Managers and Proprietors in Hospitality and Leisure Services,1223,Publicans and managers of licensed premises
soc-y1dy,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",12,OTHER MANAGERS AND PROPRIETORS,122,Managers and Proprietors in Hospitality and Leisure Services,1224,Leisure and sports managers and proprietors
soc-y1eh,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",12,OTHER MANAGERS AND PROPRIETORS,122,Managers and Proprietors in Hospitality and Leisure Services,1225,Travel agency managers and proprietors
soc-y1ej,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",12,OTHER MANAGERS AND PROPRIETORS,123,Managers and Proprietors in Health and Care Services,1231,Health care practice managers
soc-y1ep,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",12,OTHER MANAGERS AND PROPRIETORS,123,Managers and Proprietors in Health and Care Services,1232,"Residential, day and domiciliary care managers and proprietors"
soc-y1eu,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",12,OTHER MANAGERS AND PROPRIETORS,123,Managers and Proprietors in Health and Care Services,1233,Early education and childcare services proprietors
soc-y1ew,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",12,OTHER MANAGERS AND PROPRIETORS,124,"Managers in Logistics, Warehousing and Transport",1241,Managers in transport and distribution
soc-y1fd,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",12,OTHER MANAGERS AND PROPRIETORS,124,"Managers in Logistics, Warehousing and Transport",1242,Managers in storage and warehousing
soc-y1ff,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",12,OTHER MANAGERS AND PROPRIETORS,124,"Managers in Logistics, Warehousing and Transport",1243,Managers in logistics
soc-y1fh,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",12,OTHER MANAGERS AND PROPRIETORS,125,Managers and Proprietors in Other Services,1251,"Property, housing and estate managers"
soc-y1fo,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",12,OTHER MANAGERS AND PROPRIETORS,125,Managers and Proprietors in Other Services,1252,Garage managers and proprietors
soc-y1fq,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",12,OTHER MANAGERS AND PROPRIETORS,125,Managers and Proprietors in Other Services,1253,Hairdressing and beauty salon managers and proprietors
soc-y1fu,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",12,OTHER MANAGERS AND PROPRIETORS,125,Managers and Proprietors in Other Services,1254,Waste disposal and environmental services managers
soc-y1ga,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",12,OTHER MANAGERS AND PROPRIETORS,125,Managers and Proprietors in Other Services,1255,Managers and directors in the creative industries
soc-y1gi,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",12,OTHER MANAGERS AND PROPRIETORS,125,Managers and Proprietors in Other Services,1256,Betting shop and gambling establishment managers
soc-y1gn,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",12,OTHER MANAGERS AND PROPRIETORS,125,Managers and Proprietors in Other Services,1257,Hire services managers and proprietors
soc-y1gp,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",12,OTHER MANAGERS AND PROPRIETORS,125,Managers and Proprietors in Other Services,1258,Directors in consultancy services
soc-y1gv,1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",12,OTHER MANAGERS AND PROPRIETORS,125,Managers and Proprietors in Other Services,1259,Managers and proprietors in other services n.e.c.
soc-y1hd,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",211,Natural and Social Science Professionals,2111,Chemical scientists
soc-y1hj,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",211,Natural and Social Science Professionals,2112,Biological scientists
soc-y1hs,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",211,Natural and Social Science Professionals,2113,Biochemists and biomedical scientists
soc-y1hy,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",211,Natural and Social Science Professionals,2114,Physical scientists
soc-y1ie,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",211,Natural and Social Science Professionals,2115,Social and humanities scientists
soc-y1ip,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",211,Natural and Social Science Professionals,2119,Natural and social science professionals n.e.c.
soc-y1is,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",212,Engineering Professionals,2121,Civil engineers
soc-y1ja,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",212,Engineering Professionals,2122,Mechanical engineers
soc-y1jf,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",212,Engineering Professionals,2123,Electrical engineers
soc-y1jk,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",212,Engineering Professionals,2124,Electronics engineers
soc-y1jo,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",212,Engineering Professionals,2125,Production and process engineers
soc-y1jt,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",212,Engineering Professionals,2126,Aerospace engineers
soc-y1jy,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",212,Engineering Professionals,2127,Engineering project managers and project engineers
soc-y1ka,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",212,Engineering Professionals,2129,Engineering professionals n.e.c.
soc-y1kq,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",213,Information Technology Professionals,2131,IT project managers
soc-y1ks,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",213,Information Technology Professionals,2132,IT managers
soc-y1lc,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",213,Information Technology Professionals,2133,"IT business analysts, architects and systems designers"
soc-y1lk,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",213,Information Technology Professionals,2134,Programmers and software development professionals
soc-y1lp,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",213,Information Technology Professionals,2135,Cyber security professionals
soc-y1lv,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",213,Information Technology Professionals,2136,IT quality and testing professionals
soc-y1lx,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",213,Information Technology Professionals,2137,IT network professionals
soc-y1lz,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",213,Information Technology Professionals,2139,Information technology professionals n.e.c.
soc-y1me,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",214,Web and Multimedia Design Professionals,2141,Web design professionals
soc-y1mj,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",214,Web and Multimedia Design Professionals,2142,Graphic and multimedia designers
soc-y1mm,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",215,Conservation and Environment Professionals,2151,Conservation professionals
soc-y1mr,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",215,Conservation and Environment Professionals,2152,Environment professionals
soc-y1my,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",216,Research and Development (R&D) and Other Research Professionals,2161,Research and development (R&D) managers
soc-y1nc,2,PROFESSIONAL OCCUPATIONS,21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",216,Research and Development (R&D) and Other Research Professionals,2162,"Other researchers, unspecified discipline"
soc-y1ne,2,PROFESSIONAL OCCUPATIONS,22,HEALTH PROFESSIONALS,221,Medical Practitioners,2211,Generalist medical practitioners
soc-y1ni,2,PROFESSIONAL OCCUPATIONS,22,HEALTH PROFESSIONALS,221,Medical Practitioners,2212,Specialist medical practitioners
soc-y1ny,2,PROFESSIONAL OCCUPATIONS,22,HEALTH PROFESSIONALS,222,Therapy Professionals,2221,Physiotherapists
soc-y1oa,2,PROFESSIONAL OCCUPATIONS,22,HEALTH PROFESSIONALS,222,Therapy Professionals,2222,Occupational therapists
soc-y1oc,2,PROFESSIONAL OCCUPATIONS,22,HEALTH PROFESSIONALS,222,Therapy Professionals,2223,Speech and language therapists
soc-y1oe,2,PROFESSIONAL OCCUPATIONS,22,HEALTH PROFESSIONALS,222,Therapy Professionals,2224,Psychotherapists and cognitive behaviour therapists
soc-y1oi,2,PROFESSIONAL OCCUPATIONS,22,HEALTH PROFESSIONALS,222,Therapy Professionals,2225,Clinical psychologists
soc-y1ok,2,PROFESSIONAL OCCUPATIONS,22,HEALTH PROFESSIONALS,222,Therapy Professionals,2226,Other psychologists
soc-y1ot,2,PROFESSIONAL OCCUPATIONS,22,HEALTH PROFESSIONALS,222,Therapy Professionals,2229,Therapy professionals n.e.c.
soc-y1pf,2,PROFESSIONAL OCCUPATIONS,22,HEALTH PROFESSIONALS,223,Nursing Professionals,2231,Midwifery nurses
soc-y1ph,2,PROFESSIONAL OCCUPATIONS,22,HEALTH PROFESSIONALS,223,Nursing Professionals,2232,Registered community nurses
soc-y1pk,2,PROFESSIONAL OCCUPATIONS,22,HEALTH PROFESSIONALS,223,Nursing Professionals,2233,Registered specialist nurses
soc-y1pp,2,PROFESSIONAL OCCUPATIONS,22,HEALTH PROFESSIONALS,223,Nursing Professionals,2234,Registered nurse practitioners
soc-y1ps,2,PROFESSIONAL OCCUPATIONS,22,HEALTH PROFESSIONALS,223,Nursing Professionals,2235,Registered mental health nurses
soc-y1pu,2,PROFESSIONAL OCCUPATIONS,22,HEALTH PROFESSIONALS,223,Nursing Professionals,2236,Registered children's nurses
soc-y1py,2,PROFESSIONAL OCCUPATIONS,22,HEALTH PROFESSIONALS,223,Nursing Professionals,2237,Other registered nursing professionals
soc-y1qa,2,PROFESSIONAL OCCUPATIONS,22,HEALTH PROFESSIONALS,224,Veterinarians,2240,Veterinarians
soc-y1qc,2,PROFESSIONAL OCCUPATIONS,22,HEALTH PROFESSIONALS,225,Other Health Professionals,2251,Pharmacists
soc-y1qe,2,PROFESSIONAL OCCUPATIONS,22,HEALTH PROFESSIONALS,225,Other Health Professionals,2252,Optometrists
soc-y1qg,2,PROFESSIONAL OCCUPATIONS,22,HEALTH PROFESSIONALS,225,Other Health Professionals,2253,Dental practitioners
soc-y1qm,2,PROFESSIONAL OCCUPATIONS,22,HEALTH PROFESSIONALS,225,Other Health Professionals,2254,Medical radiographers
soc-y1qr,2,PROFESSIONAL OCCUPATIONS,22,HEALTH PROFESSIONALS,225,Other Health Professionals,2255,Paramedics
soc-y1qt,2,PROFESSIONAL OCCUPATIONS,22,HEALTH PROFESSIONALS,225,Other Health Professionals,2256,Podiatrists
soc-y1qv,2,PROFESSIONAL OCCUPATIONS,22,HEALTH PROFESSIONALS,225,Other Health Professionals,2259,Other health professionals n.e.c.
soc-y1ri,2,PROFESSIONAL OCCUPATIONS,23,TEACHING AND OTHER EDUCATIONAL PROFESSIONALS,231,Teaching Professionals,2311,Higher education teaching professionals
soc-y1rk,2,PROFESSIONAL OCCUPATIONS,23,TEACHING AND OTHER EDUCATIONAL PROFESSIONALS,231,Teaching Professionals,2312,Further education teaching professionals
soc-y1rm,2,PROFESSIONAL OCCUPATIONS,23,TEACHING AND OTHER EDUCATIONAL PROFESSIONALS,231,Teaching Professionals,2313,Secondary education teaching professionals
soc-y1si,2,PROFESSIONAL OCCUPATIONS,23,TEACHING AND OTHER EDUCATIONAL PROFESSIONALS,231,Teaching Professionals,2314,Primary education teaching professionals
soc-y1sk,2,PROFESSIONAL OCCUPATIONS,23,TEACHING AND OTHER EDUCATIONAL PROFESSIONALS,231,Teaching Professionals,2315,Nursery education teaching professionals
soc-y1sm,2,PROFESSIONAL OCCUPATIONS,23,TEACHING AND OTHER EDUCATIONAL PROFESSIONALS,231,Teaching Professionals,2316,Special and additional needs education teaching professionals
soc-y1sr,2,PROFESSIONAL OCCUPATIONS,23,TEACHING AND OTHER EDUCATIONAL PROFESSIONALS,231,Teaching Professionals,2317,Teachers of English as a foreign language
soc-y1st,2,PROFESSIONAL OCCUPATIONS,23,TEACHING AND OTHER EDUCATIONAL PROFESSIONALS,231,Teaching Professionals,2319,Teaching professionals n.e.c.
soc-y1sz,2,PROFESSIONAL OCCUPATIONS,23,TEACHING AND OTHER EDUCATIONAL PROFESSIONALS,232,Other Educational Professionals,2321,Head teachers and principals
soc-y1th,2,PROFESSIONAL OCCUPATIONS,23,TEACHING AND OTHER EDUCATIONAL PROFESSIONALS,232,Other Educational Professionals,2322,Education managers
soc-y1tj,2,PROFESSIONAL OCCUPATIONS,23,TEACHING AND OTHER EDUCATIONAL PROFESSIONALS,232,Other Educational Professionals,2323,Education advisers and school inspectors
soc-y1tm,2,PROFESSIONAL OCCUPATIONS,23,TEACHING AND OTHER EDUCATIONAL PROFESSIONALS,232,Other Educational Professionals,2324,Early education and childcare services managers
soc-y1to,2,PROFESSIONAL OCCUPATIONS,23,TEACHING AND OTHER EDUCATIONAL PROFESSIONALS,232,Other Educational Professionals,2329,Other educational professionals n.e.c
soc-y1tt,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",241,Legal Professionals,2411,Barristers and judges
soc-y1tx,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",241,Legal Professionals,2412,Solicitors and lawyers
soc-y1ud,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",241,Legal Professionals,2419,Legal professionals n.e.c.
soc-y1uj,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",242,Finance Professionals,2421,Chartered and certified accountants
soc-y1uq,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",242,Finance Professionals,2422,Finance and investment analysts and advisers
soc-y1uw,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",242,Finance Professionals,2423,Taxation experts
soc-y1uy,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",243,"Business, Research and Administrative Professionals",2431,Management consultants and business analysts
soc-y1vd,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",243,"Business, Research and Administrative Professionals",2432,Marketing and commercial managers
soc-y1vh,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",243,"Business, Research and Administrative Professionals",2433,"Actuaries, economists and statisticians"
soc-y1vo,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",243,"Business, Research and Administrative Professionals",2434,Business and related research professionals
soc-y1vs,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",243,"Business, Research and Administrative Professionals",2435,Professional/Chartered company secretaries
soc-y1vu,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",243,"Business, Research and Administrative Professionals",2439,"Business, research and administrative professionals n.e.c."
soc-y1vx,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",244,Business and Financial Project Management Professionals,2440,Business and financial project management professionals
soc-y1wc,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",245,"Architects, Chartered Architectural Technologists, Planning Officers, Surveyors and Construction Professionals",2451,Architects
soc-y1wf,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",245,"Architects, Chartered Architectural Technologists, Planning Officers, Surveyors and Construction Professionals",2452,"Chartered architectural technologists, planning officers and consultants"
soc-y1wk,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",245,"Architects, Chartered Architectural Technologists, Planning Officers, Surveyors and Construction Professionals",2453,Quantity surveyors
soc-y1wm,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",245,"Architects, Chartered Architectural Technologists, Planning Officers, Surveyors and Construction Professionals",2454,Chartered surveyors
soc-y1ws,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",245,"Architects, Chartered Architectural Technologists, Planning Officers, Surveyors and Construction Professionals",2455,Construction project managers and related professionals
soc-y1ww,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",246,Welfare Professionals,2461,Social workers
soc-y1xc,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",246,Welfare Professionals,2462,Probation officers
soc-y1xe,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",246,Welfare Professionals,2463,Clergy
soc-y1xg,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",246,Welfare Professionals,2464,Youth work professionals
soc-y1xi,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",246,Welfare Professionals,2469,Welfare professionals n.e.c.
soc-y1xn,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",247,Librarians and Related Professionals,2471,Librarians
soc-y1xp,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",247,Librarians and Related Professionals,2472,"Archivists, conservators and curators"
soc-y1xv,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",248,Quality and Regulatory Professionals,2481,Quality control and planning engineers
soc-y1ya,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",248,Quality and Regulatory Professionals,2482,Quality assurance and regulatory professionals
soc-y1yd,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",248,Quality and Regulatory Professionals,2483,Environmental health professionals
soc-y1yf,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",249,Media Professionals,2491,"Newspaper, periodical and broadcast editors"
soc-y1yh,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",249,Media Professionals,2492,Newspaper and periodical broadcast journalists and reporters
soc-y1yl,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",249,Media Professionals,2493,Public relations professionals
soc-y1yq,2,PROFESSIONAL OCCUPATIONS,24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS",249,Media Professionals,2494,Advertising accounts managers and creative directors
soc-y1yu,3,ASSOCIATE PROFESSIONAL OCCUPATIONS,31,"SCIENCE, ENGINEERING AND TECHNOLOGY ASSOCIATE PROFESSIONALS",311,"Science, Engineering and Production Technicians",3111,Laboratory technicians
soc-y1zb,3,ASSOCIATE PROFESSIONAL OCCUPATIONS,31,"SCIENCE, ENGINEERING AND TECHNOLOGY ASSOCIATE PROFESSIONALS",311,"Science, Engineering and Production Technicians",3112,Electrical and electronics technicians
soc-y1ze,3,ASSOCIATE PROFESSIONAL OCCUPATIONS,31,"SCIENCE, ENGINEERING AND TECHNOLOGY ASSOCIATE PROFESSIONALS",311,"Science, Engineering and Production Technicians",3113,Engineering technicians
soc-y1zi,3,ASSOCIATE PROFESSIONAL OCCUPATIONS,31,"SCIENCE, ENGINEERING AND TECHNOLOGY ASSOCIATE PROFESSIONALS",311,"Science, Engineering and Production Technicians",3114,Building and civil engineering technicians
soc-y1zn,3,ASSOCIATE PROFESSIONAL OCCUPATIONS,31,"SCIENCE, ENGINEERING AND TECHNOLOGY ASSOCIATE PROFESSIONALS",311,"Science, Engineering and Production Technicians",3115,Quality assurance technicians
soc-y1zp,3,ASSOCIATE PROFESSIONAL OCCUPATIONS,31,"SCIENCE, ENGINEERING AND TECHNOLOGY ASSOCIATE PROFESSIONALS",311,"Science, Engineering and Production Technicians",3116,"Planning, process and production technicians"
soc-y1zr,3,ASSOCIATE PROFESSIONAL OCCUPATIONS,31,"SCIENCE, ENGINEERING AND TECHNOLOGY ASSOCIATE PROFESSIONALS",311,"Science, Engineering and Production Technicians",3119,"Science, engineering and production technicians n.e.c."
soc-y1zv,3,ASSOCIATE PROFESSIONAL OCCUPATIONS,31,"SCIENCE, ENGINEERING AND TECHNOLOGY ASSOCIATE PROFESSIONALS",312,"CAD, Drawing and Architectural Technicians",3120,"CAD, drawing and architectural technicians"
